"Name","Location","Type","Data Type","Namespace","Source"
"MON_BOKU_TEX1_NAME_KR","00c59e30","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_KR","00c59e34","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_kR","00c59e38","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX0_NAME_CH_T","00c59e3c","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX1_NAME_CH_T","00c59e40","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX2_NAME_CH_T","00c59e44","Data Label","pointer","Global","User Defined"
"MON_BOKU_TEX3_NAME_CH_T","00c59e48","Data Label","pointer","Global","User Defined"
"DREAM_TEX_NAME","00c59ebc","Data Label","pointer","Global","User Defined"
"ETERNAL_CALM_COPYRIGHT_JP_BG_PATH","00c59ed0","Data Label","pointer","Global","User Defined"
"ETERNAL_CALM_COPYRIGHT_NEA_BG_PATH","00c59ed4","Data Label","pointer","Global","User Defined"
"overdriveUIAlpha","00c59f38","Data Label","undefined4","Global","User Defined"
"TkMenuSave","00c59ff0","Data Label","TkMenu","Global","User Defined"
"TkMenuLoad","00c5a014","Data Label","TkMenu","Global","User Defined"
"TkMenuHelp","00c5a08c","Data Label","TkMenu","Global","User Defined"
"TkMenuName","00c5a0b0","Data Label","TkMenu","Global","User Defined"
"TkMenuItem","00c5a2fc","Data Label","TkMenu","Global","User Defined"
"TkMenuAbility","00c5a320","Data Label","TkMenu","Global","User Defined"
"TkMenuConfig","00c5a5e4","Data Label","TkMenu","Global","User Defined"
"TkMenuSummon","00c5a720","Data Label","TkMenu","Global","User Defined"
"TkMenuEquip","00c5a744","Data Label","TkMenu","Global","User Defined"
"TkMenuLimit","00c5a768","Data Label","TkMenu","Global","User Defined"
"TkMenuStatus","00c5a7d8","Data Label","TkMenu","Global","User Defined"
"TkMenuKaizou","00c5a7fc","Data Label","TkMenu","Global","User Defined"
"TkMenuWShop","00c5a844","Data Label","TkMenu","Global","User Defined"
"TkMenuTuto","00c5a8d8","Data Label","TkMenu","Global","User Defined"
"TkMenuMain","00c5b2b0","Data Label","TkMenu","Global","User Defined"
"TkMenuAbilityMap2","00c5b2f4","Data Label","TkMenu","Global","User Defined"
"TkMenuHdd","00c5b318","Data Label","TkMenu","Global","User Defined"
"TkMenuWorldMap","00c5b33c","Data Label","TkMenu","Global","User Defined"
"TkMenuSaveIconFileName","00c5b3fc","Data Label","string","Global","User Defined"
"CloudSaveUITexPaths","00c5b44c","Data Label","pointer","Global","User Defined"
"UiElementScaleX","00c5d778","Data Label","undefined","Global","User Defined"
"UiElementScaleY","00c5d77c","Data Label","undefined","Global","User Defined"
"font_scale_jimaku","00c5d784","Data Label","undefined","Global","User Defined"
"AtelCallTargetsMount","00c5d8c0","Data Label","AtelCallTargetsMount","Global","User Defined"
"AtelCallTargetsMap","00c5dc90","Data Label","AtelCallTargetsMap","Global","User Defined"
"enableMiniMap","00c5e478","Data Label","undefined4","Global","User Defined"
"GUIDE_CIRCLE","00c5e778","Data Label","pointer","Global","User Defined"
"g_OmdPrimSize","00c5e790","Data Label","undefined","Global","User Defined"
"currentMagicId","00c64ca0","Data Label","undefined4","Global","User Defined"
"toBeDeleteMagicId","00c64ca4","Data Label","undefined4","Global","User Defined"
"currentHandle","00c64ca8","Data Label","undefined4","Global","User Defined"
"toBeDeleteHandle","00c64cac","Data Label","undefined4","Global","User Defined"
"UnknownMagicList","00c64cb0","Data Label","undefined4","Global","User Defined"
"g_595hideYunaFlag","00c64cd8","Data Label","undefined4","Global","User Defined"
"gMagicFunctions","00c64ce8","Data Label","undefined *","Global","User Defined"
"AtelCallTargetsAbiMap","00c85eb0","Data Label","AtelCallTargetsAbiMap","Global","User Defined"
"num_texel_att","00c87870","Data Label","undefined2","Global","User Defined"
"num_clut0_att","00c87880","Data Label","undefined2","Global","User Defined"
"num_clut1_att","00c87890","Data Label","undefined2","Global","User Defined"
"num_clut2_att","00c878a0","Data Label","undefined2","Global","User Defined"
"num_clut3_att","00c878b0","Data Label","undefined2","Global","User Defined"
"od_num_texel","00c87d90","Data Label","undefined","Global","User Defined"
"od_num_clut0","00c88590","Data Label","undefined","Global","User Defined"
"od_num_clut1","00c885d0","Data Label","undefined","Global","User Defined"
"od_num_clut2","00c88610","Data Label","undefined","Global","User Defined"
"od_num_clut3","00c88650","Data Label","undefined","Global","User Defined"
"owu_prog0","00c88a94","Data Label","pointer","Global","User Defined"
"owu_prog1","00c88a98","Data Label","undefined *","Global","User Defined"
"AtelCallTargetsSgEvent","00c88d88","Data Label","AtelCallTargetsSgEvent","Global","User Defined"
"AtelCallTargetsChEvent","00c891f8","Data Label","AtelCallTargetsChEvent","Global","User Defined"
"asmemu_relocation_addr","00c8b500","Data Label","undefined4","Global","User Defined"
"asmreg_3","00c8f538","Data Label","undefined4","Global","User Defined"
"asmreg_4","00c8f548","Data Label","undefined4","Global","User Defined"
"asmreg_5","00c8f558","Data Label","undefined4","Global","User Defined"
"asmreg_6","00c8f568","Data Label","undefined4","Global","User Defined"
"asmreg_7","00c8f578","Data Label","undefined4","Global","User Defined"
"asmreg_random_init_flag","00c8f728","Data Label","undefined4","Global","User Defined"
"asmreg_I","00c8f78c","Data Label","undefined","Global","User Defined"
"asmreg_vi16","00c8fac4","Data Label","undefined4","Global","User Defined"
"PClassDescriptor_PTimer","00c901b0","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PClusterHeaderBase","00c96aa8","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PInstanceListHeader","00c97338","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PTextureCommonBase","00ca3530","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PTexture2DBase","00ca3738","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PTexture2D","00ca37d0","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PTexture3D","00ca3b60","Data Label","undefined","Global","User Defined"
"PClassDescriptor_PTextureCubeMap","00ca3ef0","Data Label","undefined","Global","User Defined"
"PClassDescriptor_PParameterBuffer","00ca5040","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PMaterial","00ca5268","Data Label","PClassDescriptor","Global","User Defined"
"PClassDescriptor_PTexture2DD3D11","00cb39a0","Data Label","PClassDescriptor","Global","User Defined"
"ptr_new_for_once","00ccb160","Data Label","undefined4","Global","User Defined"
"g_summonTextureReplaceChrInstance","00ccb230","Data Label","undefined4","Global","User Defined"
"g_BreathSoftParticle","00ccb248","Data Label","undefined","Global","User Defined"
"g_chrClothList","00ccb250","Data Label","undefined4","Global","User Defined"
"g_clothMemSpace","00ccb454","Data Label","undefined4","Global","User Defined"
"g_clothMem","00ccb458","Data Label","undefined4","Global","User Defined"
"graphic0146Key","00ccb460","Data Label","undefined1","Global","User Defined"
"loadingCallbackMutex","00ccb6d0","Data Label","undefined4","Global","User Defined"
"gCharacterRegistToInstantiateList","00ccb6d4","Data Label","undefined4","Global","User Defined"
"loadingCallbackList","00ccb6e0","Data Label","undefined4","Global","User Defined"
"ffxsjistbl_jp","00ccb95c","Data Label","undefined4","Global","User Defined"
"g_curEventId","00ccb990","Data Label","undefined4","Global","User Defined"
"g_saveLoadScreenState","00ccb994","Data Label","undefined4","Global","User Defined"
"g_saveLoadDialogState","00ccb998","Data Label","undefined4","Global","User Defined"
"g_saveLoadIsSave","00ccb99c","Data Label","undefined4","Global","User Defined"
"g_playerPos","00ccb9a8","Data Label","undefined","Global","User Defined"
"g_is3DScene","00ccb9c0","Data Label","undefined1","Global","User Defined"
"startPlayVfxTextureVideo","00ccb9cc","Data Label","undefined4","Global","User Defined"
"switchTexture","00ccb9d4","Data Label","undefined4","Global","User Defined"
"g_VsyncThreadPtr","00ccc7c0","Data Label","undefined4","Global","User Defined"
"FontShadowTexNames","00ccc7d4","Data Label","undefined4","Global","User Defined"
"FontShadowSonNums","00ccc7ec","Data Label","undefined","Global","User Defined"
"FontShadowType","00ccc804","Data Label","undefined4","Global","User Defined"
"ScreenFade_g_sceneRenderPassTypeInstance","00ccc954","Data Label","undefined","Global","User Defined"
"ScreenFadeSubtract_g_sceneRenderPassTypeInstance","00ccc964","Data Label","undefined","Global","User Defined"
"ScreenFadeAdditive_g_sceneRenderPassTypeInstance","00ccc974","Data Label","undefined","Global","User Defined"
"MotionBlur","00cdebf4","Data Label","undefined4","Global","User Defined"
"sFMVPlayerManager","00cded2c","Data Label","undefined4","Global","User Defined"
"sLanguageManager","00cded48","Data Label","undefined4","Global","User Defined"
"+savefile_size","00ce72f4","Data Label","undefined4","Global","User Defined"
"+savefile","00ce72f8","Data Label","SaveFile *","Global","User Defined"
"SAVE_DATA_ICON_PATH","00ce81a0","Data Label","undefined","Global","User Defined"
"cameraDataFloatArray","00ce829c","Data Label","undefined4","Global","User Defined"
"+SpeedBooster","00ce82a4","Data Label","int","Global","User Defined"
"partColorOffset","00cec190","Data Label","undefined4","Global","User Defined"
"InPppOtFunc","00cec194","Data Label","undefined4","Global","User Defined"
"numFillBufferRequest","00cec1b0","Data Label","undefined4","Global","User Defined"
"numFillBufferVertices","00cec1c8","Data Label","undefined4","Global","User Defined"
"g_FpLoopFlag","00cec1e0","Data Label","undefined4","Global","User Defined"
"g_FpPointLightId","00cec1e4","Data Label","undefined4","Global","User Defined"
"g_FpPointLightAllocCnt","00cec1e8","Data Label","undefined4","Global","User Defined"
"g_FpPointLightUse","00cec1ec","Data Label","undefined4","Global","User Defined"
"g_FpPacketSize","00cec1f0","Data Label","undefined4","Global","User Defined"
"g_FpPacketUseSize","00cec1f4","Data Label","undefined4","Global","User Defined"
"g_FpPacketMaxUseSize","00cec1f8","Data Label","undefined4","Global","User Defined"
"g_FpHeapUseSize","00cec1fc","Data Label","undefined4","Global","User Defined"
"g_FpHeapMaxUseSize","00cec200","Data Label","undefined4","Global","User Defined"
"g_FpInitHeapDisplay","00cec208","Data Label","undefined4","Global","User Defined"
"g_modelBuffers","00d32850","Data Label","undefined4","Global","User Defined"
"g_endNumBuffers","00d4b450","Data Label","undefined4","Global","User Defined"
"DRAW","00d4e130","Data Label","undefined4","Global","User Defined"
"ppvDbgTemp","00d52388","Data Label","undefined4","Global","User Defined"
"pppWbuf","010d5640","Data Label","undefined","Global","User Defined"
"pppRbuf","010d7640","Data Label","undefined","Global","User Defined"
"hdd_debug_mode","01128a86","Data Label","undefined1","Global","User Defined"
"file_size_tbl_Ex_size","01128a94","Data Label","undefined4","Global","User Defined"
